Classe::MUG204_28	MUG204;00028;4.0;4.0;0;perj;P307;Gr28

MetaClasse::ART29	Cycle1;MUG204_29
Classe::MUG204_29	MUG204;00029;4.0;4.0;0;simc;P307;Gr29

MetaClasse::ART4A	Cycle2;ART402_11;CBO402_21;DAN402_11;DRA402_11;DRA402_21;ECR404_11;ECR404_12;ECR404_21;ECR404_22;GTR402_21
Classe::ART402_11	ART402;00011;5.0;2.5;1;wilj;B016;Gr41,Gr42,Gr43,Gr44
Classe::CBO402_21	CBO402;00021;5.0;2.5;2;simc;I108;Gr41,Gr42,Gr43,Gr44
Classe::DAN402_11	DAN402;00011;5.0;2.5;1;bedk;Pales;Gr41,Gr42,Gr43,Gr44
Classe::DRA402_11	DRA402;00011;5.0;2.5;1;dumm;B204;Gr41,Gr42,Gr43,Gr44
Classe::DRA402_21	DRA402;00021;5.0;2.5;2;dumm;B204;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_11	ECR404;00011;5.0;2.5;1;beas;C104;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_12	ECR404;00012;5.0;2.5;1;desl;B118;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_21	ECR404;00021;5.0;2.5;2;beas;C104;Gr41,Gr42,Gr43,Gr44
Classe::ECR404_22	ECR404;00022;5.0;2.5;2;desl;B118;Gr41,Gr42,Gr43,Gr44
Classe::GTR402_21	GTR402;00021;5.0;2.5;2;bruj;B108;Gr41,Gr42,Gr43,Gr44

MetaClasse::ART4B	Cycle2;DRA402_12;DRA402_22;ECR404_13;ECR404_23;GTR402_12
Classe::DRA402_12	DRA402;00012;5.0;2.5;1;dumm;B204;Gr45,Gr46
Classe::DRA402_22	DRA402;00022;5.0;2.5;2;dumm;B204;Gr45,Gr46
Classe::ECR404_13	ECR404;00013;5.0;2.5;1;beas;C104;Gr45,Gr46
Classe::ECR404_23	ECR404;00023;5.0;2.5;2;beas;C104;Gr45,Gr46
Classe::GTR402_12	GTR402;00012;5.0;2.5;1;bruj;B108;Gr45,Gr46

MetaClasse::ART4C	Cycle2;ART402_13;ART402_23;DRA402_13;DRA402_23;ECR404_14;ECR404_15;ECR404_24;ECR404_25
Classe::ART402_13	ART402;00013;5.0;2.5;1;wilj;B016;Gr47,Gr48,Gr49
Classe::ART402_23	ART402;00023;5.0;2.5;2;wilj;B016;Gr47,Gr48,Gr49
Classe::DRA402_13	DRA402;00013;5.0;2.5;1;dumm;B204;Gr47,Gr48,Gr49
Classe::DRA402_23	DRA402;00023;5.0;2.5;2;dumm;B204;Gr47,Gr48,Gr49
Classe::ECR404_14	ECR404;00014;5.0;2.5;1;beas;C104;Gr47,Gr48,Gr49
Classe::ECR404_15	ECR404;00015;5.0;2.5;1;desl;B118;Gr47,Gr48,Gr49
Classe::ECR404_24	ECR404;00024;5.0;2.5;2;beas;C104;Gr47,Gr48,Gr49
Classe::ECR404_25	ECR404;00025;5.0;2.5;2;desl;B118;Gr47,Gr48,Gr49

MetaClasse::ART5A	Cycle2;ART502_21;CBO502_11;DRA502_11;DRA502_21;ECR502_11;ECR502_12;ECR502_21;ECR502_22;GTR502_11
Classe::ART502_21	ART502;00021;4.0;2.0;2;wilj;B016;Gr51,Gr52,Gr53,Gr54
