Classe::EPS402_01	EPS402;00001;3.0;3.0;0;brije;Pisc;Gr41,Gr42,Gr43,Gr44
Classe::EPS402_02	EPS402;00002;3.0;3.0;0;chal;GymOra;Gr41,Gr42,Gr43,Gr44
Classe::EPS402_04	EPS402;00004;3.0;3.0;0;pela;GymBleu;Gr41,Gr42,Gr43,Gr44
Classe::SPR4MULT_01	SPR4MULT;00001;3.0;5.0;0;prog;nil;Gr41,Gr42,Gr43,Gr44
Classe::SPR4SOC_01	SPR4SOC;00001;3.0;3.0;0;desms;GymVert;Gr41,Gr42,Gr43,Gr44
Classe::SPR4VOL_01	SPR4VOL;00001;3.0;5.0;0;robep;nil;Gr41,Gr42,Gr43,Gr44

MetaClasse::EPS5A	Cycle2;EPS502_01;EPS502_02;EPS502_04;SPR5MULT_01;SPR5SOC_01;SPR5VOL_01
Classe::EPS502_01	EPS502;00001;2.0;2.0;0;angm;Pisc;Gr51,Gr52,Gr53,Gr54
Classe::EPS502_02	EPS502;00002;2.0;2.0;0;chal;GymOra;Gr51,Gr52,Gr53,Gr54
Classe::EPS502_04	EPS502;00004;2.0;2.0;0;pela;GymBleu;Gr51,Gr52,Gr53,Gr54
Classe::SPR5MULT_01	SPR5MULT;00001;2.0;4.0;0;desms;nil;Gr51,Gr52,Gr53,Gr54
Classe::SPR5SOC_01	SPR5SOC;00001;2.0;2.0;0;prog;GymVert;Gr51,Gr52,Gr53,Gr54
Classe::SPR5VOL_01	SPR5VOL;00001;2.0;4.0;0;robep;nil;Gr51,Gr52,Gr53,Gr54

MetaClasse::EPS4B_5B	Cycle2;EPS402_05;EPS402_06;EPS502_05;EPS502_06
Classe::EPS402_05	EPS402;00005;2.0;2.0;0;robep;GymOra;Gr45,Gr46,Gr55,Gr56
Classe::EPS402_06	EPS402;00006;2.0;2.0;0;pela;GymBleu;Gr45,Gr46,Gr55,Gr56
Classe::EPS502_05	EPS502;00005;2.0;2.0;0;brije;Pisc;Gr45,Gr46,Gr55,Gr56
Classe::EPS502_06	EPS502;00006;2.0;2.0;0;prog;GymOra;Gr45,Gr46,Gr55,Gr56

MetaClasse::EPS5C_46	Cycle2;EPS402_16;EPS502_17;EPS502_18;EPS502_19
Classe::EPS402_16	EPS402;00006;1.0;1.0;0;pela;GymBleu;Gr46,Gr57,Gr58,Gr59
Classe::EPS502_17	EPS502;00017;1.0;1.0;0;angm;Pisc;Gr46,Gr57,Gr58,Gr59
Classe::EPS502_18	EPS502;00018;1.0;1.0;0;chal;GymVert;Gr46,Gr57,Gr58,Gr59
Classe::EPS502_19	EPS502;00019;1.0;1.0;0;desms;GymBleu;Gr46,Gr57,Gr58,Gr59

MetaClasse::ART5B_39	Cycle2;DRA502_12;DRA502_22;ECR343_39;ECR502_13;ECR502_23;GTR502_22;MUG302_39
Classe::DRA502_12	DRA502;00012;4.0;2.0;1;dumm;B204;Gr39,Gr55,Gr56
Classe::DRA502_22	DRA502;00022;4.0;2.0;2;dumm;B204;Gr39,Gr55,Gr56
Classe::ECR343_39	ECR343;00039;4.0;2.0;2;desl;B118;Gr39,Gr55,Gr56
Classe::ECR502_13	ECR502;00013;4.0;2.0;1;chee;C206;Gr39,Gr55,Gr56
Classe::ECR502_23	ECR502;00023;4.0;2.0;2;chee;C206;Gr39,Gr55,Gr56
Classe::GTR502_22	GTR502;00022;4.0;2.0;2;bruj;B108;Gr39,Gr55,Gr56
Classe::MUG302_39	MUG302;00039;4.0;2.0;1;bruj;B108;Gr39,Gr55,Gr56

MetaClasse::FRA23X	Cycle1;FRA216x_23
Classe::FRA216x_23	FRA216x;00023;1.0;1.0;0;duci;P203;Gr23

MetaClasse::FRA24	Cycle1;FRA208E_24
Classe::FRA208E_24	FRA208E;00024;8.0;8.0;0;bedk;C106;Gr24

MetaClasse::FRA25	Cycle1;FRA208_25
Classe::FRA208_25	FRA208;00025;8.0;8.0;0;duci;P203;Gr25

MetaClasse::FRA25X	Cycle1;FRA216x_25
Classe::FRA216x_25	FRA216x;00025;1.0;1.0;0;duci;P203;Gr25

MetaClasse::FRA26	Cycle1;FRA208E_26
Classe::FRA208E_26	FRA208E;00026;8.0;8.0;0;bedk;C106;Gr26

MetaClasse::FRA27	Cycle1;FRA208_27
Classe::FRA208_27	FRA208;00027;8.0;8.0;0;proj;P303;Gr27

MetaClasse::FRA27X	Cycle1;FRA216x_27
Classe::FRA216x_27	FRA216x;00027;1.0;1.0;0;proj;P303;Gr27

MetaClasse::FRA28	Cycle1;FRA208_28
Classe::FRA208_28	FRA208;00028;8.0;8.0;0;proj;P303;Gr28

MetaClasse::FRA28X	Cycle1;FRA216x_28
Classe::FRA216x_28	FRA216x;00028;1.0;1.0;0;proj;P303;Gr28

MetaClasse::FRA29	Cycle1;FRA208_29
Classe::FRA208_29	FRA208;00029;8.0;8.0;0;duci;P203;Gr29

MetaClasse::FRA29X	Cycle1;FRA216x_29
Classe::FRA216x_29	FRA216x;00029;1.0;1.0;0;duci;P203;Gr29

MetaClasse::FRA31	Cycle2;FRA308_31
Classe::FRA308_31	FRA308;00031;8.0;8.0;0;degf;nil;Gr31

MetaClasse::FRA31X	Cycle2;FRA308x_31
Classe::FRA308x_31	FRA308x;00031;1.0;1.0;0;degf;nil;Gr31

MetaClasse::FRA32	Cycle2;FRA308E_32
Classe::FRA308E_32	FRA308E;00032;8.0;8.0;0;desjj;B117;Gr32

MetaClasse::FRA33	Cycle2;FRA308_33
Classe::FRA308_33	FRA308;00033;8.0;8.0;0;beam;C205;Gr33

MetaClasse::FRA33X	Cycle2;FRA308x_33
Classe::FRA308x_33	FRA308x;00033;1.0;1.0;0;beam;C205;Gr33

MetaClasse::FRA34	Cycle2;FRA308E_34
Classe::FRA308E_34	FRA308E;00034;8.0;8.0;0;beam;C205;Gr34

MetaClasse::FRA35	Cycle2;FRA308_35
Classe::FRA308_35	FRA308;00035;8.0;8.0;0;degf;nil;Gr35

MetaClasse::FRA35X	Cycle2;FRA308x_35
Classe::FRA308x_35	FRA308x;00035;1.0;1.0;0;degf;nil;Gr35

MetaClasse::FRA36	Cycle2;FRA308E_36
Classe::FRA308E_36	FRA308E;00036;8.0;8.0;0;begm;nil;Gr36

MetaClasse::FRA37	Cycle2;FRA308_37
Classe::FRA308_37	FRA308;00037;8.0;8.0;0;desjj;B117;Gr37

MetaClasse::FRA37X	Cycle2;FRA308x_37
Classe::FRA308x_37	FRA308x;00037;1.0;1.0;0;desjj;B117;Gr37

MetaClasse::FRA38	Cycle2;FRA308_38
Classe::FRA308_38	FRA308;00038;8.0;8.0;0;beam;C205;Gr38

MetaClasse::FRA38X	Cycle2;FRA308x_38
Classe::FRA308x_38	FRA308x;00038;1.0;1.0;0;beam;C205;Gr38

MetaClasse::FRA39	Cycle2;FRA308_39
Classe::FRA308_39	FRA308;00039;8.0;8.0;0;desjj;B117;Gr39

MetaClasse::FRA39X	Cycle2;FRA308x_39
Classe::FRA308x_39	FRA308x;00039;1.0;1.0;0;desjj;B117;Gr39

MetaClasse::FRA41	Cycle2;FRA406_41
Classe::FRA406_41	FRA406;00041;7.0;7.0;0;lahg;B120;Gr41

MetaClasse::FRA42	Cycle2;FRA406E_42
Classe::FRA406E_42	FRA406E;00042;6.0;6.0;0;begm;nil;Gr42

MetaClasse::FRA43	Cycle2;FRA406_43
Classe::FRA406_43	FRA406;00043;7.0;7.0;0;lahg;B120;Gr43

MetaClasse::FRA44	Cycle2;FRA406E_44
Classe::FRA406E_44	FRA406E;00044;6.0;6.0;0;begm;nil;Gr44

MetaClasse::FRA45	Cycle2;FRA406_45
Classe::FRA406_45	FRA406;00045;7.0;7.0;0;lamb;nil;Gr45

MetaClasse::FRA46	Cycle2;FRA406E_46
Classe::FRA406E_46	FRA406E;00046;6.0;6.0;0;begm;nil;Gr46

MetaClasse::FRA47	Cycle2;FRA406_47
Classe::FRA406_47	FRA406;00047;7.0;7.0;0;lamb;nil;Gr47

MetaClasse::FRA48	Cycle2;FRA406_48
Classe::FRA406_48	FRA406;00048;7.0;7.0;0;lahg;B120;Gr48

MetaClasse::FRA49	Cycle2;FRA406_49
Classe::FRA406_49	FRA406;00049;7.0;7.0;0;lahg;B120;Gr49

MetaClasse::FRA52	Cycle2;FRA506E_52
Classe::FRA506E_52	FRA506E;00052;6.0;6.0;0;laub;B110;Gr52

MetaClasse::FRA54	Cycle2;FRA506E_54
Classe::FRA506E_54	FRA506E;00054;6.0;6.0;0;lapc;C103;Gr54

MetaClasse::FRA55	Cycle2;FRA506_55
Classe::FRA506_55	FRA506;00055;7.0;7.0;0;laub;B110;Gr55

MetaClasse::FRA56	Cycle2;FRA506E_56
Classe::FRA506E_56	FRA506E;00056;6.0;6.0;0;lapc;C103;Gr56

MetaClasse::FRA57	Cycle2;FRA506_57
Classe::FRA506_57	FRA506;00057;7.0;7.0;0;lamb;nil;Gr57

MetaClasse::GEO21	Cycle1;GEO203_21
Classe::GEO203_21	GEO203;00021;3.0;3.0;0;lala;P107;Gr21

MetaClasse::GEO22	Cycle1;GEO203E_22
Classe::GEO203E_22	GEO203E;00022;3.0;3.0;0;lala;P107;Gr22

MetaClasse::GEO23	Cycle1;GEO203_23
Classe::GEO203_23	GEO203;00023;3.0;3.0;0;lala;P107;Gr23

MetaClasse::GEO24	Cycle1;GEO203E_24
Classe::GEO203E_24	GEO203E;00024;3.0;3.0;0;lala;P107;Gr24

MetaClasse::GEO25	Cycle1;GEO203_25
Classe::GEO203_25	GEO203;00025;3.0;3.0;0;lala;P107;Gr25

MetaClasse::GEO26	Cycle1;GEO203E_26
Classe::GEO203E_26	GEO203E;00026;3.0;3.0;0;kilm;G203;Gr26

MetaClasse::GEO27	Cycle1;GEO203_27
Classe::GEO203_27	GEO203;00027;3.0;3.0;0;lala;P107;Gr27

MetaClasse::GEO28	Cycle1;GEO203_28
Classe::GEO203_28	GEO203;00028;3.0;3.0;0;lala;P107;Gr28

MetaClasse::GEO29	Cycle1;GEO203_29
Classe::GEO203_29	GEO203;00029;3.0;3.0;0;lala;P107;Gr29

MetaClasse::HIS21	Cycle1;HIS213_21
Classe::HIS213_21	HIS213;00021;3.0;3.0;0;briju;P207;Gr21

MetaClasse::HIS22	Cycle1;HIS213E_22
Classe::HIS213E_22	HIS213E;00022;3.0;3.0;0;chod;nil;Gr22

MetaClasse::HIS23	Cycle1;HIS213_23
Classe::HIS213_23	HIS213;00023;3.0;3.0;0;chod;nil;Gr23

MetaClasse::HIS24	Cycle1;HIS213E_24
Classe::HIS213E_24	HIS213E;00024;3.0;3.0;0;chod;nil;Gr24

MetaClasse::HIS25	Cycle1;HIS213_25
Classe::HIS213_25	HIS213;00025;3.0;3.0;0;chod;nil;Gr25

MetaClasse::HIS26	Cycle1;HIS213E_26
Classe::HIS213E_26	HIS213E;00026;3.0;3.0;0;bour;C107;Gr26

MetaClasse::HIS27	Cycle1;HIS213_27
Classe::HIS213_27	HIS213;00027;3.0;3.0;0;briju;P207;Gr27

MetaClasse::HIS28	Cycle1;HIS213_28
Classe::HIS213_28	HIS213;00028;3.0;3.0;0;briju;P207;Gr28

MetaClasse::HIS29	Cycle1;HIS213_29
Classe::HIS213_29	HIS213;00029;3.0;3.0;0;briju;P207;Gr29

MetaClasse::HIS31	Cycle2;HIS304_31
Classe::HIS304_31	HQC304;00031;5.0;5.0;0;stop;nil;Gr31

MetaClasse::HIS32	Cycle2;HIS304_32
Classe::HIS304_32	HQC304;00032;5.0;5.0;0;bour;C107;Gr32

MetaClasse::HIS33	Cycle2;HIS304_33
Classe::HIS304_33	HQC304;00033;5.0;5.0;0;bour;C107;Gr33

MetaClasse::HIS34	Cycle2;HIS304_34
Classe::HIS304_34	HQC304;00034;5.0;5.0;0;bour;C107;Gr34

MetaClasse::HIS35	Cycle2;HIS304_35
Classe::HIS304_35	HQC304;00035;5.0;5.0;0;stop;nil;Gr35

MetaClasse::HIS36	Cycle2;HIS304_36
Classe::HIS304_36	HQC304;00036;5.0;5.0;0;stop;nil;Gr36

MetaClasse::HIS37	Cycle2;HIS304_37
Classe::HIS304_37	HQC304;00037;5.0;5.0;0;arcs;C207;Gr37

MetaClasse::HIS38	Cycle2;HIS304_38
Classe::HIS304_38	HQC304;00038;5.0;5.0;0;bour;C107;Gr38

MetaClasse::HIS39	Cycle2;HIS304_39
Classe::HIS304_39	HQC304;00039;5.0;5.0;0;bour;C107;Gr39

MetaClasse::HIS41	Cycle2;HIS404_41
Classe::HIS404_41	HQC404;00041;5.0;5.0;0;heba;B119;Gr41

MetaClasse::HIS42	Cycle2;HIS404_42
Classe::HIS404_42	HQC404;00042;5.0;5.0;0;arcs;C207;Gr42

MetaClasse::HIS43	Cycle2;HIS404_43
Classe::HIS404_43	HQC404;00043;5.0;5.0;0;heba;B119;Gr43

MetaClasse::HIS44	Cycle2;HIS404_44
Classe::HIS404_44	HQC404;00044;5.0;5.0;0;arcs;C207;Gr44

MetaClasse::HIS45	Cycle2;HIS404_45
Classe::HIS404_45	HQC404;00045;5.0;5.0;0;arcs;C207;Gr45

MetaClasse::HIS46	Cycle2;HIS404_46
Classe::HIS404_46	HQC404;00046;5.0;5.0;0;heba;B119;Gr46

MetaClasse::HIS47	Cycle2;HIS404_47
Classe::HIS404_47	HQC404;00047;5.0;5.0;0;heba;B119;Gr47

MetaClasse::HIS48	Cycle2;HIS404_48
Classe::HIS404_48	HQC404;00048;5.0;5.0;0;arcs;C207;Gr48

MetaClasse::HIS49	Cycle2;HIS404_49
Classe::HIS404_49	HQC404;00049;5.0;5.0;0;heba;B119;Gr49

MetaClasse::HISGEO21	Cycle1;GEO203x_21;HIS213x_21
Classe::GEO203x_21	GEO203x;00021;1.0;0.5;0;lala;P107;Gr21
Classe::HIS213x_21	HIS213x;00021;1.0;0.5;0;briju;P207;Gr21

MetaClasse::HISGEO23	Cycle1;GEO203x_23;HIS213x_23
Classe::GEO203x_23	GEO203x;00023;1.0;0.5;0;lala;P107;Gr23
Classe::HIS213x_23	HIS213x;00023;1.0;0.5;0;chod;nil;Gr23

MetaClasse::HISGEO25	Cycle1;GEO203x_25;HIS213x_25
Classe::GEO203x_25	GEO203x;00025;1.0;0.5;0;lala;P107;Gr25
Classe::HIS213x_25	HIS213x;00025;1.0;0.5;0;chod;nil;Gr25

MetaClasse::HISGEO27	Cycle1;GEO203x_27;HIS213x_27
Classe::GEO203x_27	GEO203x;00027;1.0;0.5;0;lala;P107;Gr27
Classe::HIS213x_27	HIS213x;00027;1.0;0.5;0;briju;P207;Gr27

MetaClasse::HISGEO28	Cycle1;GEO203x_28;HIS213x_28
Classe::GEO203x_28	GEO203x;00028;1.0;0.5;0;lala;P107;Gr28
Classe::HIS213x_28	HIS213x;00028;1.0;0.5;0;briju;P207;Gr28

MetaClasse::HISGEO29	Cycle1;GEO203x_29;HIS213x_29
Classe::GEO203x_29	GEO203x;00029;1.0;0.5;0;lala;P107;Gr29
Classe::HIS213x_29	HIS213x;00029;1.0;0.5;0;briju;P207;Gr29

MetaClasse::MAT21	Cycle1;MAT206_21
Classe::MAT206_21	MAT206;00021;7.0;7.0;0;segc;P310;Gr21

MetaClasse::MAT22	Cycle1;MAT206E_22
Classe::MAT206E_22	MAT206E;00022;6.0;6.0;0;bouk;P305;Gr22

MetaClasse::MAT23	Cycle1;MAT206_23
Classe::MAT206_23	MAT206;00023;7.0;7.0;0;segc;P310;Gr23

MetaClasse::MAT24	Cycle1;MAT206E_24
Classe::MAT206E_24	MAT206E;00024;6.0;6.0;0;favg;nil;Gr24

MetaClasse::MAT25	Cycle1;MAT206_25
Classe::MAT206_25	MAT206;00025;7.0;7.0;0;bouk;P305;Gr25

MetaClasse::GEO102	Cycle1;GEO103E_102
Classe::GEO103E_102	GEO103E;00102;3.0;3.0;0;degf;nil;Gr102

MetaClasse::GEO103	Cycle1;GEO103_103
Classe::GEO103_103	GEO103;00103;3.0;3.0;0;dams;P208;Gr103

MetaClasse::GEO105	Cycle1;GEO103_105
Classe::GEO103_105	GEO103;00105;3.0;3.0;0;dams;P208;Gr105

MetaClasse::GEO106	Cycle1;GEO103E_106
Classe::GEO103E_106	GEO103E;00106;3.0;3.0;0;degf;nil;Gr106

MetaClasse::GEO107	Cycle1;GEO103_107
Classe::GEO103_107	GEO103;00107;3.0;3.0;0;dams;P208;Gr107

MetaClasse::GEO108	Cycle1;GEO103E_108
Classe::GEO103E_108	GEO103E;00108;3.0;3.0;0;dams;P208;Gr108

MetaClasse::GEO109	Cycle1;GEO103_109
Classe::GEO103_109	GEO103;00109;3.0;3.0;0;dams;P208;Gr109

MetaClasse::HIS109	Cycle1;HIS103_109
Classe::HIS103_109	HIS103;00109;3.0;3.0;0;briju;P207;Gr109

MetaClasse::HIS108	Cycle1;HIS103E_108
Classe::HIS103E_108	HIS103E;00108;3.0;3.0;0;briju;P207;Gr108

MetaClasse::HIS107	Cycle1;HIS103_107
Classe::HIS103_107	HIS103;00107;3.0;3.0;0;kilm;G203;Gr107

MetaClasse::HIS101	Cycle1;HIS103_101
Classe::HIS103_101	HIS103;00101;3.0;3.0;0;briju;P207;Gr101

MetaClasse::HIS102	Cycle1;HIS103E_102
Classe::HIS103E_102	HIS103E;00102;3.0;3.0;0;kilm;G203;Gr102

MetaClasse::HIS103	Cycle1;HIS103_103
Classe::HIS103_103	HIS103;00103;3.0;3.0;0;kilm;G203;Gr103

MetaClasse::HIS104	Cycle1;HIS103E_104
Classe::HIS103E_104	HIS103E;00104;3.0;3.0;0;briju;P207;Gr104

MetaClasse::HIS105	Cycle1;HIS103_105
Classe::HIS103_105	HIS103;00105;3.0;3.0;0;kilm;G203;Gr105

MetaClasse::HIS106	Cycle1;HIS103E_106
Classe::HIS103E_106	HIS103E;00106;3.0;3.0;0;kilm;G203;Gr106

MetaClasse::MAT101	Cycle1;MAT106_101
Classe::MAT106_101	MAT106;00101;7.0;7.0;0;desm;P103;Gr101

MetaClasse::MAT102	Cycle1;MAT106E_102
Classe::MAT106E_102	MAT106E;00102;6.0;6.0;0;dumi;I101;Gr102

MetaClasse::MAT104	Cycle1;MAT106E_104
Classe::MAT106E_104	MAT106E;00104;6.0;6.0;0;desm;P103;Gr104

MetaClasse::MAT105	Cycle1;MAT106_105
Classe::MAT106_105	MAT106;00105;7.0;7.0;0;blam;nil;Gr105

MetaClasse::MAT106	Cycle1;MAT106E_106
Classe::MAT106E_106	MAT106E;00106;6.0;6.0;0;desm;P103;Gr106

MetaClasse::MAT107	Cycle1;MAT106_107
Classe::MAT106_107	MAT106;00107;7.0;7.0;0;favg;nil;Gr107

MetaClasse::MAT108	Cycle1;MAT106E_108
Classe::MAT106E_108	MAT106E;00108;6.0;6.0;0;dumi;I101;Gr108

MetaClasse::MAT109	Cycle1;MAT106_109
Classe::MAT106_109	MAT106;00109;7.0;7.0;0;desm;P103;Gr109

MetaClasse::HISGEO101	Cycle1;GEO103x_101;HIS103x_101
Classe::GEO103x_101	GEO103x;00101;1.0;0.5;0;dams;P208;Gr101
Classe::HIS103x_101	HIS103x;00101;1.0;0.5;0;briju;P207;Gr101

MetaClasse::HISGEO105	Cycle1;GEO103x_105;HIS103x_105
Classe::GEO103x_105	GEO103x;00105;1.0;0.5;0;dams;P208;Gr105
Classe::HIS103x_105	HIS103x;00105;1.0;0.5;0;kilm;G203;Gr105

MetaClasse::HISGEO103	Cycle1;GEO103x_103;HIS103x_103
Classe::GEO103x_103	GEO103x;00103;1.0;0.5;0;dams;P208;Gr103
Classe::HIS103x_103	HIS103x;00103;1.0;0.5;0;kilm;G203;Gr103

MetaClasse::HISGEO107	Cycle1;GEO103x_107;HIS103x_107
Classe::GEO103x_107	GEO103x;00107;1.0;0.5;0;dams;P208;Gr107
Classe::HIS103x_107	HIS103x;00107;1.0;0.5;0;kilm;G203;Gr107

MetaClasse::HISGEO109	Cycle1;GEO103x_109;HIS103x_109
Classe::GEO103x_109	GEO103x;00109;1.0;0.5;0;dams;P208;Gr109
Classe::HIS103x_109	HIS103x;00109;1.0;0.5;0;briju;P207;Gr109

MetaClasse::MAT26	Cycle1;MAT206E_26
Classe::MAT206E_26	MAT206E;00026;6.0;6.0;0;bouk;P305;Gr26

MetaClasse::MAT27	Cycle1;MAT206_27
Classe::MAT206_27	MAT206;00027;7.0;7.0;0;segc;P310;Gr27

MetaClasse::MAT28	Cycle1;MAT206_28
Classe::MAT206_28	MAT206;00028;7.0;7.0;0;segc;P310;Gr28

MetaClasse::MAT29	Cycle1;MAT206_29
Classe::MAT206_29	MAT206;00029;7.0;7.0;0;bouk;P305;Gr29

MetaClasse::MAT31	Cycle2;MAT306_31
Classe::MAT306_31	MAT306;00031;7.0;7.0;0;soui;C202;Gr31

MetaClasse::MAT32	Cycle2;MAT306E_32
Classe::MAT306E_32	MAT306E;00032;6.0;6.0;0;levj;B116;Gr32

MetaClasse::MAT33	Cycle2;MAT306_33
Classe::MAT306_33	MAT306;00033;7.0;7.0;0;levj;B116;Gr33

MetaClasse::MAT34	Cycle2;MAT306E_34
Classe::MAT306E_34	MAT306E;00034;6.0;6.0;0;gagd;nil;Gr34

MetaClasse::MAT35	Cycle2;MAT306_35
Classe::MAT306_35	MAT306;00035;7.0;7.0;0;soui;C202;Gr35

MetaClasse::MAT36	Cycle2;MAT306E_36
Classe::MAT306E_36	MAT306E;00036;6.0;6.0;0;soui;C202;Gr36

MetaClasse::MAT37	Cycle2;MAT306_37
Classe::MAT306_37	MAT306;00037;7.0;7.0;0;levj;B116;Gr37

MetaClasse::MAT38	Cycle2;MAT306_38
Classe::MAT306_38	MAT306;00038;7.0;7.0;0;levj;B116;Gr38

MetaClasse::MAT39	Cycle2;MAT306_39
Classe::MAT306_39	MAT306;00039;7.0;7.0;0;soui;C202;Gr39

MetaClasse::MAT4	Cycle2;MAT404_01;MAT406_01;MAT406_02
Classe::MAT404_01	MAT404;00001;7.0;7.0;0;menm;B10;Gr43,Gr48
Classe::MAT406_01	MAT406;00001;7.0;7.0;0;noeg;B15;Gr43,Gr48
Classe::MAT406_02	MAT406;00002;7.0;7.0;0;mere;B115;Gr43,Gr48

MetaClasse::MAT41	Cycle2;MAT406_41
Classe::MAT406_41	MAT406;00041;7.0;7.0;0;noeg;B15;Gr41

MetaClasse::MAT42	Cycle2;MAT406E_42
Classe::MAT406E_42	MAT406E;00042;6.0;6.0;0;remm;B13;Gr42

MetaClasse::MAT44	Cycle2;MAT406E_44
Classe::MAT406E_44	MAT406E;00044;6.0;6.0;0;noeg;B15;Gr44

MetaClasse::MAT45	Cycle2;MAT406_45
Classe::MAT406_45	MAT406;00045;7.0;7.0;0;mere;B115;Gr45

MetaClasse::MAT46	Cycle2;MAT406E_46
Classe::MAT406E_46	MAT406E;00046;6.0;6.0;0;remm;B13;Gr46

MetaClasse::MAT47	Cycle2;MAT406_47
Classe::MAT406_47	MAT406;00047;7.0;7.0;0;noeg;B15;Gr47

MetaClasse::MAT49	Cycle2;MAT406_49
Classe::MAT406_49	MAT406;00049;7.0;7.0;0;mere;B115;Gr49

MetaClasse::MAT52	Cycle2;MAT506E_52
Classe::MAT506E_52	MAT506E;00052;6.0;6.0;0;boic;B11;Gr52

MetaClasse::MAT54	Cycle2;MAT506E_54
Classe::MAT506E_54	MAT506E;00054;6.0;6.0;0;boic;B11;Gr54

MetaClasse::MAT55	Cycle2;MAT506_55
Classe::MAT506_55	MAT506;00055;7.0;7.0;0;remm;B13;Gr55

MetaClasse::MAT56	Cycle2;MAT506E_56
Classe::MAT506E_56	MAT506E;00056;6.0;6.0;0;menm;B10;Gr56

MetaClasse::MAT57	Cycle2;MAT506_57
Classe::MAT506_57	MAT506;00057;7.0;7.0;0;menm;B10;Gr57

MetaClasse::MON52	Cycle2;MON504_52
Classe::MON504_52	MON504;00052;5.0;5.0;0;chee;C206;Gr52

MetaClasse::MON54	Cycle2;MON504_54
Classe::MON504_54	MON504;00054;5.0;5.0;0;stop;nil;Gr54

MetaClasse::MON55	Cycle2;MON504_55
Classe::MON504_55	MON504;00055;5.0;5.0;0;chee;C206;Gr55

MetaClasse::MON56	Cycle2;MON504_56
Classe::MON504_56	MON504;00056;5.0;5.0;0;trec;B8;Gr56

MetaClasse::MON57	Cycle2;MON504_57
Classe::MON504_57	MON504;00057;5.0;5.0;0;trec;B8;Gr57

MetaClasse::MON58	Cycle2;MON504_58
Classe::MON504_58	MON504;00058;5.0;5.0;0;chee;C206;Gr58

MetaClasse::MON59	Cycle2;MON504_59
Classe::MON504_59	MON504;00059;5.0;5.0;0;trec;B8;Gr59

MetaClasse::OPT4A	Cycle2;ENT464_01;ENT464_02;INF464_01;PSY404_01
Classe::ENT464_01	ENT414;00001;3.0;3.0;0;trec;B8;Gr42,Gr44,Gr46
Classe::ENT464_02	ENT414;00002;3.0;3.0;0;heba;B119;Gr42,Gr44,Gr46
Classe::INF464_01	INF464;00001;3.0;3.0;0;prog;nil;Gr42,Gr44,Gr46
Classe::PSY404_01	PSY444;00001;3.0;3.0;0;myri;C105;Gr42,Gr44,Gr46

MetaClasse::OPT5A	Cycle2;CAT544_01;CHI504_01;MED544_01;PHY504_01;PSY544_01
Classe::CAT544_01	CAT544;00001;5.0;5.0;0;lapl;C04;Gr51,Gr53,Gr58,Gr59
Classe::CHI504_01	CHI504;00001;5.0;5.0;0;frem;LaboChi;Gr51,Gr53,Gr58,Gr59
Classe::MED544_01	MED544;00001;5.0;5.0;0;wilj;B016;Gr51,Gr53,Gr58,Gr59
Classe::PHY504_01	PHY504;00001;5.0;5.0;0;begp;LaboPhy;Gr51,Gr53,Gr58,Gr59
Classe::PSY544_01	PSY544;00001;5.0;5.0;0;myri;C105;Gr51,Gr53,Gr58,Gr59

MetaClasse::OPT5B	Cycle2;CHI504_02;ENT564_01;MED544_02;PHY504_02;PSY544_02
Classe::CHI504_02	CHI504;00002;5.0;5.0;0;ayon;LaboChi;Gr51,Gr53,Gr58,Gr59
Classe::ENT564_01	ENT564;00001;5.0;5.0;0;stop;nil;Gr51,Gr53,Gr58,Gr59
Classe::MED544_02	MED544;00002;5.0;5.0;0;wilj;B016;Gr51,Gr53,Gr58,Gr59
Classe::PHY504_02	PHY504;00002;5.0;5.0;0;begp;LaboPhy;Gr51,Gr53,Gr58,Gr59
Classe::PSY544_02	PSY544;00002;5.0;5.0;0;myri;C105;Gr51,Gr53,Gr58,Gr59

MetaClasse::PHY52	Cycle2;PHY504_52
Classe::PHY504_52	PHY504;00052;5.0;5.0;0;begp;LaboPhy;Gr52

MetaClasse::PHY54	Cycle2;PHY504_54
Classe::PHY504_54	PHY504;00054;5.0;5.0;0;ayon;LaboPhy;Gr54

MetaClasse::PHY55	Cycle2;PHY504_55
Classe::PHY504_55	PHY504;00055;5.0;5.0;0;begp;LaboPhy;Gr55

MetaClasse::PHY56	Cycle2;PHY504_56
Classe::PHY504_56	PHY504;00056;5.0;5.0;0;begp;LaboPhy;Gr56

MetaClasse::SCT21	Cycle1;SCT204_21
Classe::SCT204_21	SCT204;00021;4.0;4.0;0;blam;K102;Gr21

MetaClasse::SCT22	Cycle1;SCT204_22
Classe::SCT204_22	SCT204;00022;4.0;4.0;0;alid;K102;Gr22

MetaClasse::SCT23	Cycle1;SCT204_23
Classe::SCT204_23	SCT204;00023;4.0;4.0;0;blam;K102;Gr23

MetaClasse::SCT24	Cycle1;SCT204_24
Classe::SCT204_24	SCT204;00024;4.0;4.0;0;alid;K102;Gr24

MetaClasse::SCT25	Cycle1;SCT204_25
